Day,Culture,Temperature,Disk,Treatment,Date,JuvID,F,Fm,Fo,FvFm,FvFmInitial,FvFmPercentageChange,CellPerJuv,Area_mm2,Area_mm2_Difference,Area_mm2_PercentageChange,Polyps,Polyps_Difference,Polyps_PercentageChange,Dead,RespirationPerMM2 ,CellsPerMM2,CellDensityPerMM2PercentChange,CellDensityPerMM2PercentChangePerTimePointAndCulture
10,WT10,27,01,WT10@27,24.10.19,6,0.2225,0.2824,0.2225,0.212,0.213,-0.469483568,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,7,0.0662,0.1093,0.0662,0.395,0.395,0,,,,,,,,came off,,,,
03,WT10,27,01,WT10@27,17.10.19,7,0.0054,0.0059,0.0054,0,0.395,-100,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,7,0.0069,0.0074,0.0069,0,0.395,-100,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,7,0.0054,0.0064,0.0054,0,0.395,-100,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,8,0.0608,0.099,0.0608,0.386,0.386,0,,,,,,,,came off,,,,
03,WT10,27,01,WT10@27,17.10.19,8,0.0069,0.0064,0.0069,0,0.386,-100,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,8,0.0054,0.0064,0.0054,0,0.386,-100,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,8,0.0074,0.0069,0.0074,0,0.386,-100,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,9,0.2216,0.2843,0.2216,0.221,0.221,0,,1.455,0,,3,,,no,,,,
03,WT10,27,01,WT10@27,17.10.19,9,0.2191,0.2833,0.2191,0.227,0.221,2.714932127,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,9,0.2181,0.2809,0.2181,0.223,0.221,0.904977376,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,9,0.2127,0.2936,0.2127,0.275,0.221,24.43438914,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,10,0.0103,0.0059,0.0103,0,0,,,,,,,,,came off,,,,
03,WT10,27,01,WT10@27,17.10.19,10,0.0059,0.0054,0.0059,0,0,,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,10,0.0059,0.0059,0.0059,0,0,,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,10,0.0074,0.0069,0.0074,0,0,,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,11,0.0074,0.0069,0.0074,0,0,,,,,,,,,came off,,,,
03,WT10,27,01,WT10@27,17.10.19,11,0.0049,0.0039,0.0049,0,0,,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,11,0.0059,0.0064,0.0059,0,0,,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,11,0.0054,0.0069,0.0054,0,0,,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,12,0.0059,0.0074,0.0059,0,0,,,,,,,,,came off,,,,
03,WT10,27,01,WT10@27,17.10.19,12,0.0034,0.0025,0.0034,0,0,,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,12,0.0064,0.0064,0.0064,0,0,,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,12,0.0059,0.0064,0.0059,0,0,,,,,,,,,,,,,
00,WT10,27,01,WT10@27,15.10.19,13,0.0064,0.0054,0.0064,0,0,,,,,,,,,came off,,,,
03,WT10,27,01,WT10@27,17.10.19,13,0.0034,0.0039,0.0034,0,0,,,,,,,,,,,,,
07,WT10,27,01,WT10@27,21.10.19,13,0.0064,0.0044,0.0064,0,0,,,,,,,,,,,,,
10,WT10,27,01,WT10@27,24.10.19,13,0.0083,0.0069,0.0083,0,0,,,,,,,,,,,,,
00,WT10,31,10,WT10@31,15.10.19,1,0.027,0.049,0.027,0.45,0.45,0,,,,,,,,came off,,,,
03,WT10,31,10,WT10@31,17.10.19,1,0.0373,0.0706,0.0373,0.472,0.45,4.888888889,,,,,,,,,,,,
